id,text,label,origin,type,language,split
de_1057,"Ihr Lieben, ich sehe das auch so, wie viele sogenannte Experten im Netz auftauchen, dann die ganzen Verschwörungsfanatiker... Aber irgendwie trennt sich dann die Spreu vom Weizen... Das habe ich auch im Bekanntenkreis festgestellt... Man lernt Menschen mal von einer anderen Seite kennen. Im positiven wie leider auch negativen... Ich versuche mich auf die Infos vom <user> Koch Institut zuverlassen und auch auf die Verhaltensempfehlungen. Aber das muß jeder für sich selbst entscheiden. Liebe Grüße. <user>",0.0,v2_3001_4000,forum post,de,SMM4H_26_train
de_53,"Hi ihr beiden, und alle Interessierten, ich bin wirklich am Überlegen mit dem Cafe. Soweit ich das gecheckt habe, sind Menopause Cafés offene Treffen an wechselnden Orten. Sobald ich einen Energieschub habe, kümmere ich mich und melde mich. Vlt geht ja auch etwas über Facebook und Instagram, wo man sich erst mal findet und verabredet. Oder über Mail. Das Forum hier ist super, da niedrigschwellig, jede kann mitlesen, die Anmeldung ist einfach. Dafür ist es wiederum sehr offen und ungeschützt. Ich bin deshalb immer am Zögern zuviel Daten wie Wohnort, Alter, Kinderzahl, Hormonwerte usw preiszugeben, weil man über ein paar Fakten schnell 'Gläsern' ist. Es ist natürlich ein Widerspruch dazu, dass wir hier alle, auch ich, über sehr persönliche Erfahrungen berichten. Glg <user>",0.0,LREC2022,forum post,de,SMM4H_26_train
de_936,habe auch genau 4. wochen die cerazette genommen habe aber gleich einen 1. tag später leichte blutungen bekommen 4. tage lang. nun habe ich ein ziehen in der brust ist das normal 3kilo habe ich auch seitdem runter essen tu ich auch net viel und wenn ich was esse is mir spei-übel....... habe auch schon schwangerschaftstest gemacht waren negativ lg,1.0,SMM4H_24_de_dev,forum post,de,SMM4H_26_train
de_312,"Hallo <user> herzlich Willkommen hier im Forum. Deine Beschwerden kenne ich noch sehr gut wobei ich sie nun mit 52 nur noch selten wahrnehme. Hatte diese Beschwerden als ich meine Periode noch hatte , jefoje sehr unregelmäßig und beschwerlich. War etwa 48/49 als es sehr heftig war... rückblickend weiß ich, daß das von den Hormonen kam. Eine Odyssee von Arztbesuchen war die Antwort auf meine Ängste ( dachte natürlich auch an MS usw) Jetzt knapp 4 Jahre später und ein jJah blutungsfrei weiß ich, dass es die WECHSEL-JAHRE waren und sind. Wie alt bist du denn? Alles gute dir <user>",0.0,LREC2022,forum post,de,SMM4H_26_train
de_460,"Ich würd ihm das Essen auf den Tisch stellen und ihm sagen, wenn er es nicht aufisst dann bekommt er das zu spüren. Ich glaube bei sowas musst du mal zeigen dass du die Hosen an hast. Ich denke dann wird er ganz schnell aufessen.",0.0,LREC2022,forum post,de,SMM4H_26_train
de_782,"Hallo, ich hab bis jetzt seit Mai diesen Jahres ca. 8 Kilo abgenommen und 12 sollen mindestens noch runter. Ich habe mich an einen Ernährungsplan gehalten und 4 mal die Woche Sport getrieben. Mein Ernährungsplan: 7Uhr: 60g Haferflocken + 250g Mager Milch Joghurt + 15g Walnüsse 10-11Uhr: Scheiben Vollkornbrot + 50g Geflügelaufschnitt + 1 Tomate 13-14Uhr: 100g Reis (Nassgewicht) + 200g Fleisch (Geflügel) + Gemüse +10g Olivenöl 16-17Uhr: Salat mit 150g Thunfisch in eignem Saft 22Uhr: 100g Hüttenkäse oder gekörnter Frischkäse Zwischendurch: Nach dem Sport 1 Banane, ansonsten 1 Apfel bei Hunger. Man sollte also so alle 3-4 Stunden was essen. Dabei war ich zweimal die Woche zum Krafttraining und zweimal zum Ausdauersport.",0.0,LREC2022,forum post,de,SMM4H_26_train
de_296,"Hallo <user>, bleib kritisch. Führt <doctor> die Op den selbst durch, wenn er Dich schon berät. Ich glaube nicht. Er ist auch kein Facharzt für Plastische Chirurgie. In der Regel fürht er nur Fettsaugeoperationen durch. Du wirst in Deutschland mehrere, seriöse Fachärzte für Plastische Chirurgie finden, die sehr gut und wesentlich preiswerter sind. Zb <doctor> Medical One in <pi> ,<doctor> <pi>,<doctor> KÖ Klinik <pi>. Lass Dich zusätzlich beraten und sprich mit dem Arzt der Dich operieren soll.",0.0,LREC2022,forum post,de,SMM4H_26_train
de_959,"Hallo <user>, ich habe nicht alles ganz genau gelesen, aber: dein Ferritin-Wert ist auf jedenfall zu niedrig, der muss über 70 liegen, alles darunter kann Haarausfall verursachen. Mit der Schilddrüse würde ich noch einmal nachhaken, heute liegt meist kein ausgeprägter Jod-Mangel mehr vor (das war einmal so, durch die heutige Zwangsjodierung stimmt das aber nur noch bedingt, die Einnahme von reinem Schilddrüsenhormon ist hier besser) und eine Schilddrüsenfunktionsstörung wird meist erst erkannt, wenn sie sehr ausgeprägt ist. Sie kann aber zuvor schon starken Haarausfall (und natürlich viele andere Beschwerden) verursachen. Ab dem 35. Lebensjahr kommt es meist nicht mehr regelmäßig zum Eisprung, auch wenn die Periode noch regelmäßig ist. Damit verbunden entsteht ein Progesteronmangel (Progesteron muss in der zweiten Zyklushälfte um den 22. Tag gemessen werden), der zu zahlreichen Beschwerden führen kann (Frauen in den Wechseljahren haben zuerst einen Progesteronmangel mit der Zeit kann es dann auch zu einem Östrogenmangel kommen). Eine Ergänzung mit natürlichem Progesteron (als Gel oder Tablette) ist dann sinnvoll (keine Östrogen-Gestagen-Variante). Ärzte therapieren damit meistens nicht, weil Progesteron von den Pharmafirmen nicht angepriesen wird, es lässt sich nicht patentieren. Gruß",0.0,LREC2022,forum post,de,SMM4H_26_train
de_161,Hat jemand Erfahrung mit den Potenztabs 24 gesammelt? Wirken die echt so gut wie im Internet beschrieben wird? Gruß <user>,0.0,LREC2022,forum post,de,SMM4H_26_train
de_251,"Liebe <user>, sorry, ich habe mich verschrieben: ich meinte nicht Hormonkapseln (das wäre ja sehr vage, weil es einige Hormone gibt),sondern Hyaluronkapseln. Ich nehme die seit gut 2 Jahren und seither sind meine Gelenkschmerzen fast weg...viel besser geworden. Das schmiert von innen, weil es Wasser bindet. LG <user>",0.0,LREC2022,forum post,de,SMM4H_26_train
de_381,"Das ist heute schon den ganzen Tag so und ich wollte ihn so genießen, mein Mann nervt mich obwohl er es gut meint und reinsteigern ist mal wieder vorprogrammiert. Wie soll es da morgen auf der Arbeit funktionieren?",0.0,LREC2022,forum post,de,SMM4H_26_train
de_85,vieleicht hilf dir das meine freundin hat das mit kondome ausprobiert sie hatt zu hause kondome mit wasser gefult und ausprobiert,0.0,LREC2022,forum post,de,SMM4H_26_train
de_1166,"Hallo zusammen. Ich brauche Hilfe habe bisher synthetische Hormone genommen. Femoston 2/10 das heißt 2mg Estradiol und 10mg Gestagen. Endlich habe ich ein Rezept für Bio bekommen. Ich soll jetzt zwei Hub Gynakodin nehmen morgens und abends 200mg Famentina Kannt mir jemand sagen ob das so in Ordnung ist. Viele sagen ein Hub würde am Anfang reichen Auch sollte ich vielleicht mit 100 farmentina beginnen. Kann mir bitte jemand helfen. Ich habe auch im Moment wieder Probleme mit stimmungsschwankungen, Herzstolper,leichtes schwitzen, bin gereizt Schlafen tue ich sehr gut. Wäre für Hilfe sehr dankbar",0.0,v2_3001_4000,forum post,de,SMM4H_26_train
de_293,"ja, ich bin jetzt am putzen, das hilft meistens. habe statrken schwindel im moment, aber habe auch fast nichts geschlafen, war die ganze nacht ständig wach, da ist es kein wunder, dass es mir nun schlecht geht. mein körper beruhigt sich hoffentlich bald wieder, bin auch etwas eingeschränkt mit der atmung, auch das führt zum schwindel. auch die atemprobleme sind neu, auch dies ist beschrieben unter wechseljahren.",0.0,LREC2022,forum post,de,SMM4H_26_train
de_930,"Vielen Dank für Eure Beiträge. Tja ist nur die Frage kann man es nachweisen, dass die Probleme von der Spirale gekommen sind. Habt Ihr denn jetzt nicht mehr diese Probleme? Ich hab halt auch etwas Angst davor, wie mein Körper gerade jetzt dann wieder wo es mir besser geht auf diese Veränderung reagiert. <user>, die sich wohl in dieser Woche noch einen Termin geben lässt, das dauert eh dann wieder etwas-",0.0,LREC2022,forum post,de,SMM4H_26_train
de_1079,"Hallo <user>, viele Menschen kennen das Problem, gerade wenn man einen stressigen Alltag im Büro hat und keine Kantine im Haus (in der man zumindest einen Salat essen kann) ist es oft nicht einfach sich gesund zu ernähren. Meiner Erfahrung nach ist es am besten sich sein Essen von zu Hause mitzunehmen, so kann man schon einmal gut darauf achten gesunde Lebensmittel in den Arbeitsalltag einzubauen und zu fettiges Essen zu vermeiden. In unserem Artikel 'Gesund essen im Büro' haben wir ein paar Tipps zusammengestellt auf was Sie achten sollten und was sich gut an Lebensmitteln eignet die man ins Büro mitnehmen kann: <url> Ich denke, teure Nahrungsergänzungsmittel braucht es nicht, wenn man auf gesunde Ernährung achtet, ausreichend frisches Gemüse und Obst zu sich nimmt. Eine Ernährungsumstellung ist nicht leicht, gerade wenn es darum geht Gewohnheiten zu verändern, aber man merkt sehr schnell wie positiv sich das auf die Gesamtverfassung auswirkt. Ich wünsche Ihnen daher alles Gute, denn es lohnt sich bestimmt.",0.0,LREC2022,forum post,de,SMM4H_26_train
de_908,Die NEM's nehme ich schon seit 2 Jahren,0.0,LREC2022,forum post,de,SMM4H_26_train
de_71,"Liebe <user>, ich habe auch das Gefühl,daß es mal so und mal so ist. Da ich ja immer noch meine Periode bekomme, meint meine FÄ, daß mein Ö eigentlich noch gut sein muß, deshalb soll ich nur Prog. nehmen . Da ich aber ganz unterschiedliche Zyklen habe, ist das halt ein auf und ab. Ich gebe mir jetzt auch noch ein halbes Jahr Zeit und dann muß ich auch mal sehen. So ist das ja kein Leben! Wenn du das Pflaster probiert hast, schreib doch mal deine Erfahrungen, würde mich auch mal interessieren. Herzliche Grüße von <user>",0.0,v2_3001_4000,forum post,de,SMM4H_26_train
de_9,"Hallo zusammen, wollte mich nach längerer Zeit mal wieder melden. Seit einigen Monaten klebe ich Fem Sequi 7 Pflaster und komme ganz gut zurecht. Zwar kommt nun ab und zu meine Periode wieder-aber das ist nun halt so. Auch nehme ich noch 37mg Venlafaxin. Es geht mir ganz ok damit. Was mich allerdings nervt ist die Veränderung des Körpers. Vorallem am Bauch und die Oberweite. Zugegeben mache ich kaum Sport ( muss ich ändern) , aber ich esse relativ wenig und versuche auch mich gesund zu ernähren. Es ist , als ob der Körper sich einfach „verselbstständigt „ hätte. Vielleicht wisst ihr was ich meine. Hatte früher nie Probleme. Wie geht es euch denn so mit den Pfunden? Viele Grüße <user>",0.0,LREC2022,forum post,de,SMM4H_26_train
